orginal,translation
長〃彩繩 줄을여 秋千ꢀ 少年덜아,긴 동앗줄 줄을 매어 그네 뛰는 소년들아
거문머리 白髮되면 秋千ꢀ기 머러지고,검은 머리 백발되면 그네뛰기 멀어지고
六月流頭 조흔佳節 憂國ꢀ니 願年豊을,유월 유두 좋은 시절 나라 걱정 풍년 기원
含哺鼓腹 擊壤歌로 里中社宴 出少年아,태평성세 격양가로 마을 잔치 노는 소년
거문머리 白髮되면 社宴ꢀ기 머러지고,검은 머리 백발 되면 잔치하기 멀어지고
七月七夕 조흔佳節 天上牛女 喜相逢을,칠월 칠석 좋은 시절 견우직녀 기쁜 상봉
一年一度 만날저긔 乞巧ꢀ 少年덜아,일 년 한 번 만날지니 걸교하는 소년들아
거문머리 白髮되면 乞巧ꢀ기 머러지고,검은 머리 백발 되면 걸교하기 멀어지고
八月秋夕 조흔佳節 田家便作 稻花仙을,팔월 추석 좋은 시절 집 앞들에 익은 벼로
屠蘇酒 비저노코 以介眉壽 ꢀ少年,도소주屠蘇酒 빚어 놓고 장수하기 비는 소년
검문머리 白髮되면 獻壽ꢀ기 머러지고,검은 머리 백발 되면 헌수하기 멀어지고
九月九日 조흔佳節 九秋何日 不重陽가,구월 구일 좋은 시절 구월 언제 중구 아니랴
黃花酒 醉케먹고 丹楓귀경 ꢀ少年,황화주 취케 먹고 단풍 구경하는 소년
거문머리 白髮되면 丹楓귀경 머러지고,검은 머리 백발 되면 단풍 구경 멀어지고
十月佳節 업다마 黃葉城邊 蕭瑟墜라,시월 가절 없다마는 누런 낙엽 쓸쓸히 진다
報本追遠 집〃마다 時祀參예 ꢀ少年,보본報本 추원追遠 집집마다 시사 참예 하는 소년
거문머리 白髮되면 參祀ꢀ기 머러지고,검은 머리 백발 되면 참사參祀 하기 멀어지고
至月至日 조흔佳節 天意初占 新曆頭라,동짓달 동지 좋은 시절 계절 따라 새 해 시작
家〃의 豆鬻으로 除厄ꢀ 少年덜라,집집마다 팥죽으로 액을 쫓는 소년들아
검문머리 白髮되면 除厄ꢀ기 머러지고,검은 머리 백발 되면 액을 쭟기 멀어지고
臘月臘日 조흔佳節 霜鬢明朝 又一年을,섣달그믐 좋은 시절 새해맞이 또 한 해를
烹羊炰羔 술얼비저 除夜ꢀ고 노少年,양을 잡고 술을 빚어 밤을 새워 노는 소년
거문머리 白髮되면 除夜ꢀ기 머러진다,검은 머리 백발 되면 밤새우기 멀어진다
이러ꢀ나 저러ꢀ나 白髮이 원수로다,이러하나 저러하나 백발이 원수로다
天地萬物 긴後의 世間公道 白髮이라,천지 만물 만든 후에 입을 모아 백발 얘기
白髮이야 〃〃〃〃 白髮이 너안이면,백발이야 백발이야 백발 너 아니면
내머리 희여지며 내 노래 일어가,내 머리 희어지며 내 노래 이러할까
어와 벗님네야 白髮歌 들어서라,어와 벗님네야 백발가 들어서라
어 내일이야 각ꢀ니 버이업다,아 아 내 일이야 생각하니 짝이 없다
人間이 예잇신이 天堂이 어런고,인간이 예 있는데 천당이 어디런가
人間의 우리父母 天堂으로 가겨신니,인간의 우리 부모 천당으로 가 계시니
問로라 天堂길이 千里런가 萬里런가,묻노라 천당 길이 천리인가 만 리인가
가신길이 이슬진대 오실길이 워이업셔,가신 길이 있을진대 오실 길이 왜 없을까
父母를 永訣ꢁ후 歲月이 悠〃ꢀ니,부모와 이별한 뒤 세월이 흘러 흘러
丹蓂의 옛가지예 光陰이 몃런고,단명丹蓂의 옛 가지에 세월이 몇 해 갔나
白雲은 慘淡ꢀ야 肝膓을 석키,흰 구름은 참담하여 간장을 썩히는 듯
綠水 嗚咽ꢀ야 血淚를 리,녹수는 울고 울어 피눈물을 뿌리는 듯
罔極ꢁ 이내셔롬 天地가 芒〃ꢀ다,끝없는 이내 설움 천지가 아득하다
아〃〃 근아 往來無窮 근아,달아 달아 밝은 달아 왕래 무궁 밝은 달아
寂寞ꢁ 草堂압폐 눌과여 노자ꢀ고,적막한 초당 앞에 누구와 놀려고
두럿시 거울치 저리대지 가다,뚜렷이 거울같이 저렇게도 밝았는고
峨嵋山月 半輪秋를 내관 알어신니,아미산월峨嵋山月 반쪽 달을 내 잠깐 알았으니
江南風月 閒多年이 一定이 그러ꢀ다,강남 풍월 여러 해라 한결같이 그러하다
懷中의 三年恩과 膝下의 百年功을,품속의 삼 년 은혜 슬하의 백년 공을
王祥의 躍鯉로도 얼음속의 貴타ꢀ,왕상의 잉어 고사 얼음 속이 귀하지만
이恩惠를 이룰진대 엇지다 갑풀쇠며,이 은혜를 말할진대 어찌 다 갚을 것이며
子路의 負米로도 百里밧긔 困타ꢀ되,자로의 부미負米 고사 백 리 밖이 멀다 하되
이德澤을 늑길진대 엇지다 갑풀쇤야,이 덕택을 느낄진대 어찌 다 갚을쏘냐
終身의 慕父母 大舜의 羹墻이요,종신토록 부모 생각 순임금의 공경할 일
七十의 嬰兒戱 老萊子의 彩服이라,칠십 나이 아이 놀이 노래자의 색동옷이라
人間의 人子되여 저러시 못ꢀ나마,인간의 자식 되어 저렇게는 못하나마
造物조차 사얌라 永訣終天 덧업고나,조물주도 시샘 빨라 영영 이별 덧없구나
心神이 散亂ꢀ야 東山의 올나간니,심신이 산란하여 동산에 올라가니
山花 灼〃ꢀ고 野草 萋〃ꢁ,산꽃은 활짝 피고 들풀은 무성한데
슬피운다 杜鵑鳥 望帝의 靈神으로,슬피 운다 두견새는 망제의 영혼으로
三巴 古國城의 못가 셔롬이요,촉 나라 고국 땅에 못가는 설움이요
반가올사 漢濱梅 庾伶의 靈魂으로,반갑구나 매화꽃은 유령庾伶의 영혼으로
東風 一枝花의 돌라오 消息이다,봄바람에 꽃 한 가지 돌아오는 소식이다
고〃〃 셜운지거 天地 우리父母,애고 애고 설운지고 천지 같은 우리 부모
소업시 어곳세 杜鵑鳥를 벗ꢀ고,소리 없이 어느 곳에 두견새와 벗하는고
자업시 어의 漢濱梅를 겻ꢀ고,자취 없이 어느 땅의 매화를 짝하는가
못븨와 恨이된이 恨이집퍼 河海고,못 뵈어 한이 되니 한이 깊어 바다 같고
못이서 願이된이 願이놉파 泰山다,못 계셔 원이 되니 원이 높아 태산 같다
고〃〃 셜운지게 우리父母 어볼고,애고 애고 설운지고 우리 부모 어디서 볼까
乾坤은 有意ꢀ야 人生을 내여신이,건곤은 뜻이 있어 사람을 내었으니
日月은 무일로 光陰을 촉ꢁ고,일월은 무슨 일로 세월을 재촉하는고
自古 英雄덜도 이셜룸 마자ꢀ고,예부터 영웅들도 이 설움 마다하고
萬里城 阿房宮의 秦始皇의 號令으로,만리성 아방궁에 진시황의 호령으로
三神山 不死藥을 몃날의 求ꢀ다가,삼신산 불사약을 몇 날 동안 구하다가
沙丘 점은날의 驪山의 塵土되고,사구沙丘 저문 날에 여산驪山의 먼지 되고
栢梁坮 承露盤은 漢武帝의 氣具로셔,백량栢梁 누대 받은 이슬 한무제의 기구로서
白雲峰 萬歲號를 거의일너 만나던니,백운봉 만세 소리 거의 일러 만나더니
汾水의 을바람 武陵을 닷어신이,분수汾水의 가을바람 무릉에 닿았으니
萬乘家 帝王덜도 이러시 도라간이,만승가萬乘家 제왕들도 이렇게들 돌아가니
내ꢁ몸 私情으로 天命을 워이이,내 한 몸 개인으로 천명을 어이 하리
父母의 恩德으로 文學의 자라나셔,부모의 은덕으로 글과 학문 자라나서
式年科의 進士ꢀ고 謁聖科의 及第ꢀ야,식년과에 진사하고 알성과에 급제하여
綠楊 春三月의 御賜花를 놉피고,녹양 춘삼월에 어사화를 높이 꽂고
우리父母 奉養키를 榮光으로 뎐이,우리 부모 봉양하기 영광으로 바랐더니
榮光은 날이업고 父母를 永訣ꢁ이,영광된 날은 없고 부모를 이별하니
흐르이 눈물이요 나이 셜움이다,흐르나니 눈물이요 나는 것이 설움이라
어날의 다시와 이눈물 멋고디니,어느 날에 다시 뵈어 이 눈물 멎고지고
어의 다시뫼셔 이셜움 그치고져,어느 때에 다시 뫼셔 이 설움 그치려나
들어 三更밤의 宛然ꢁ 父母顔面,잠들어 한밤중의 완연한 부모 얼굴
반겨와 을니 벼개우의 虛事로다,반겨 뵈어 꿈을 깨니 베개 위에 허사로다
私情의 지푼셜움 大義로 푸러내여,개인 정에 깊은 설움 대의로 풀어내어
子息을 敎訓ꢀ고 奴僕을 경계ꢀ야,자식을 가르치고 노복을 경계하여
上平田 下平田의 뉘역삭갓 밧슬갈고,윗 들논 아랫 들논 누역 삿갓 밭을 갈고
或山而樵 或水漁로 淡泊生涯 足ꢁ後의,풀 베고 고기잡고 담박한 삶 만족한 후
天皇氏 地皇氏로 史記를 가라치고,천황씨 지황씨로 사기를 가르치고
孔子曰 孟子曰로 經傳을 외야신이,공자 왈 맹자 왈로 경전을 외웠으니
풍 월 風月의 벗시되고,바람 풍 달 월 자는 풍월의 벗이 되고
글시 술주字 詩酒의 主人이라,글 시에 술 주 자는 시주詩酒의 주인이라
文明世界 우리날라 顔曾思孟 못되나마,문명 세계 우리 나라 안·증·사·맹顔曾思孟 못되나마
學不厭 敎不倦을 庠舍의 法을셰워,학불염學不厭 교불권敎不倦 학교의 법을 세워
遏人欲 存天理를 家庭의 本을바,욕심 막고 천리 지켜 가정의 본을 받아
三綱五倫 重이ꢀ고 四端七情 펴ꢀ면,삼강 오륜 중시하고 사단 칠정 살핀다면
百行之源 一孝子 求忠臣의 根本이라,백행지원 으뜸 효자 충신 찾기 근본이라
世間公道 이슬진댄 腐儒寒士 可憐ꢀ다,세상 공도 있을진대 부유한사腐儒寒士가련하다
聖上이 알으시면 丹梅一枝 길쇤가,임금이 아신다면 나라 충성 아낄쏘냐
窮八十 姜太公도 文王을 만나잇고,팔십 다한 강태공도 주문왕을 만났었고
五羔皮 百里奚도 穆公을 섬겨신이,오고대부五羖大夫 백리해百里奚도 진 목공을 섬겼으니
思親의 病든몸이 愛君의 시집퍼,부모 생각 병든 몸이 임금 사랑 뜻이 깊어
悲歎窮廬 하직ꢀ고 功名을 크게겨,궁한 집 하직하고 공명을 크게 닦아
玉堂金馬 밧비아 紅塵紫陌 볼분후의,옥당 금마 바삐 몰아 서울 거리 밟은 후에
玉皇님 불을날의 天堂을 急피,옥황님 부를 날에 천당을 급히 찾아
우리父母 시뫼셔 이冤情을 알외리라,우리 부모 다시 뫼셔 이 원망을 아뢰리라
物格知至 알어ꢀ면 修齊治平 절로되리,격물치지格物致知 알려하면 수제 치평 절로 되리
江湖遠處 憂其君은 一片丹忠 뉘알쇤가,강호 먼 곳 임금 걱정 일편 단충丹忠을 누가 알까
어와 벗님네야 百年虛送 마러서라,어와 벗님네야 일생 허송 하지 마라
窮達이 有時ꢀ니 疾病은 므일고,궁달이 때 있으니 질병은 웬일인가
人生不得 恒少年를 내잠관 알어신이,인생부득人生不得 항상 소년을 내가 이미 알았으니
東園桃李 片時春을 그워이 몰를쇤가,동원 도리 잠깐 봄을 그대 어이 모를쏜가
秋風의 病欲蘇를 一念의 거러신니,추풍에 병 나을 듯 일념으로 걸었으니
古人의 노 치 볼가잇다,옛사람 놀던 자취 달같이 밝아 있다
水辺終日 會簪纓은 王逸少의 노림이요,물가 종일 고관 모아 왕희지의 놀음이요
樂夫天命 復奚意 陶淵明의 노림이요,천명 믿고 의심 않는 도잠의 놀음이요
借問吹簫 向紫烟은 王子晉의 노림이요,통소 부니 이는 연기 왕자진의 놀음이요
笑坐雕鞍 歌落梅 李靑蓮의 노림이요,안장 앉아 부는 낙매落梅 이백의 놀음이요
春來花鳥 莫深愁 杜子美의 노림이요,봄날의 꽃과 새로 근심 풀이는 두보의 놀음이요
一日看盡 洛陽花 孟浩然의 노림이요,종일 보는 낙양화는 맹호연의 놀음이요
訪花隨柳 過前川 程夫子의 노림이요,꽃 옆에 버들 따라 시내를 넘음은 정호의 놀음이요
除是人間 別有天은 朱先生의 노림이라,이곳 외에 별천지는 주희암의 놀음이라
그도그러 ꢁ건이와 醉ꢀ노림 더욱조타,그도 그러 하거니와 취한 놀음 더욱 좋다
龍山의 빗긴사모 竹林의 몰근,용산에서 떨군 모자 대숲의 맑은 바람
孟嘉야 네이슨이 阮籍이 내안인가,맹가여 너 있으니 완적이는 내 아닌가
畢吏夫의 甕間飮과 歐陽修의 亭上醉도,필리부畢吏部의 술항아리 구양수의 정자에서 취한 것
繁華ꢀ 百代士의 다各〃 질겨잇다,번화한 여러 선비 다 각각 즐겨 있다
그도그러 ꢁ건이와 名區의 노던,그도 그러 하거니와 명승에서 놀던 자취
이날밤 근의 歷〃키 라본이,이날 밤 밝은 달에 역력히 바라보니
畵棟朝飛 南浦雲은 滕王閣의 勝景이요,누각 위에 남포 구름 등왕각의 승경이요
三山半落 靑天外 鳳凰臺의 勝景이요,하늘 밖에 삼산이 솟아 봉황대의 승경이요
夜半鐘聲 到客船은 姑蘇坮의 勝景이요,밤 종소리 객선에 들려 고소대의 승경이요
夏宜急雨 瀑布聲은 黃崗樓의 勝景이요,여름에는 폭포 소리 황강루의 승경이요
巴陵勝賞 洞庭湖 岳陽樓의 勝景이라,파릉 경치 동정호는 악양루의 승경이라
옌날노림 이러ꢁ니 내안이 다시놀가,옛날 놀음 이러하니 내 아니 다시 놀까
張子房의 玉洞簫와 蘇子瞻의 沙棠舟로,장량의 옥통소와 소식의 사당주沙棠舟로
春服이 旣成ꢁ니 六七童子 너도가자,봄옷이 완성되니 육칠 동자 너도 가자
覇橋의 저나귀 이날의 빗기타고,패교의 저는 나귀 이날에 흥겹게 타고
綠水靑山 집푼로 골〃이 들어간이,녹수 청산 깊은 데로 골골 찾아 들어 가니
三間草堂 精洒ꢀ 一片柴門 닷어두고,삼간 초당 엄숙한데 작은 사립 닫아 두고
香火戶의 내가쉬고 夕陽이 在山ꢀ,향로에 연기 사라지고 석양이 저무는데
杜鵑黃鸝 슬피울고 鸚鵡孔雀 넘느,두견 꾀꼬리 슬피 울고 앵무 공작 넘나는데
層岩絶壁 數千丈의 瀑布淸波 러진니,층암 절벽 수천 길에 폭포 물살 떨어지니
홀르난이 桃花로다 武陵이 예안인가,흐르느니 도화로다 무릉도원 이 아닌가
안저보고 서셔본이 나도ꢀ 神仙이다,앉아보고 서서 보니 나도 또한 신선이다
謝眺의 驚人句로 長進酒 노제,사조謝眺의 명시구와 장진주 노래할 때
花前亂舞 蜂三夏요 雲外孤聲 雁九秋라,꽃 앞에 춤 석 달 여름 구름 밖에 울고 간 가을 기러기
有酒醑矣 無酒沽ꢁ니 淸簫一曲 坐深幽라,술 다 마셔 술 없으니 통소 한 곡 깊은 데 앉았네
이노림 다ꢀ후의 功名을 期約두고,이 놀음 다한 후에 공명을 기약하고
銀鞍繡轂 盛繁華로 紅塵紫陌 간니,안장 수레 치장하여 서울 거리 찾아가니
張三李四 少年輩가 반겨마저 ꢁ말이,장삼 이사張三李四 소년들이 반겨 맞아 하는 말이
靑雲이 저러ꢀ 더듸옴은 무일고,출세가 저러한데 늦게 옴은 웬일인고
綠樹秦京 洛水橋의 부르이 자로쇠,경치 좋은 서울 다리 부르나니 자네로세
風雲의 晼晩을 欣然이 對答ꢁ되,풍운이 늦은 것을 기쁘게 대답하되
伊尹의 耕莘野도 成湯을 만나익고,이윤伊尹의 신야莘野 농사 탕임금을 만나 있고
呂尙의 釣渭濱도 文王을 셤겨신이,여상呂商의 위빈渭濱 낚시 문왕을 섬겼으니
나도ꢀ 그안이라 忠臣烈士 後裔로셔,나도 또한 그 아니랴 충신열사 후예로서
一片靈坮 腔子裏의 忠孝二字 볼가신이,작은 마음 가슴 속에 충효 두 자 밝았으니
보이 聖君이요 각이 明主로다,바라나니 성군이요 생각하니 명주로다
汲黯의 臥淮陽도 그도ꢀ 直臣이요,급암汲黯의 와회양淮陽 정치 그도 또한 직신이요
魯蓮의 蹈東海덜 이안이 義士런가,노중련魯仲蓮의 동해 죽음은 이 아니 의사런가
黃河水 ꢀ변가 우리聖主 나겨시니,황하수 한번 맑아 우리 성상 나계시니
하 九重안의 이노 들으시면,하늘 같은 궁궐 안에 이 노래 들으시면
三顧草廬 漢昭烈과 桃園結義 宋太祖가,삼고초려三顧草廬 한의 유비 도원결의桃園結義 송 태조가
諸葛亮을 시본니 趙普야 안인가,제갈량을 다시 보니 조보야 또 아닌가
翰林園의 特敎ꢁ야 議政府의 承召ꢁ냐,한림원에 특교하여 의정부에 불러 모아
三堂上 入侍時의 諄〃이 下敎ꢁ되,세 당상관 입궐할 때 곡진하게 하교하되
唐虞 無爲治를 내셔 ꢁ러ꢁ나,당우의 태평성대 내 벌써 하려 하나
皐陶稷契 못어더셔 夢得良弼 보던이,고요 직설皐陶稷契 못 얻어서 어진 신하 바랐더니
草野의 숨은臣下 이날의 만나신이,초야의 숨은 신하 이날에야 만났으니
五絃琴 南風詩 問로라 어요,오현금 남풍시는 묻노라 어느 땐고
靑丘의 다시이 一定이 맛당ꢁ다,우리나라 다시 함이 일정이 마땅하다
雨露의 집푼恩惠 四拜ꢁ고 알왼말,큰 은혜 깊은 은혜 사 배하고 아뢴 말씀
君臣有義 至重ꢁ니 補闕拾遺 마올잇가,군신유의 지중하니 보궐 습유補闕拾遺 마오리까
功名을 크게닥고 乞骸表 알온후의,공명을 크게 닦고 벼슬 그만 아뢴 후에
范蠡의 五湖舟로 漢江水 건네와셔,범려의 오호주五湖舟로 한강수 건너와서
疏廣의 千鎰金을 秋城府의 흣터두고,소광의 천일금千鎰金을 담양군에 흩어두고
感君恩 ꢀ曲調로 太平酒 비저신이,감군은感君恩 한 곡조로 태평주 빚었으니
兄오쇼 의오쇼 栗里情話 더욱조타,형 오소 아우 오소 시골 인심 더욱 좋다
그도글러 ꢁ건이와 左右班列 보라보니,그도 그러 하거니와 좌우 사람 바라보니
勝友 如雲ꢁ고 高朋은 滿座로다,좋은 벗 구름 같고 훌륭한 벗 자리 가득
勸君更進 一盃酒로 但願長醉 不願醒을,그대에게 권한 한 잔 오래 취해 깨지 마오
흐아 술부어라 天下萬事 三笑罷라,아이야 술 부어라 천하만사 한바탕 웃음이다
일ꢀ노림 절ꢀ노림 이건야 이건냐,이런 놀음 저런 놀음 꿈결인가 잠결인가
光明ꢀ 이世上의 大丈夫 되야내셔,광명한 이 세상에 대장부 되어서는
疾病업시 살어을 진실로 보로라,질병 없이 살아감을 진실로 바라노라
뎌의 셧돌이 瑞石(셔셕)인가 立石(입셕)인가,저 산에 섰는 돌이 서석瑞石인가 입석立石인가
悠然(유연)이 보눈이 셰도 몰올씨고,유연悠然히 보는 눈이 자세히는 모르겠네
夕日(셕일)이 曚曨(몽농)ꢀ 구름은 무일고,석양빛이 몽롱한데 구름은 웬일인고
긔뉘셔 셰알아 려 일알숀가,그 누가 자세히 알아 나에게 말해줄 지
葛巾(갈건)을 기우씨고 芒鞋(망혜)를 뵈야신어,갈건葛巾을 비뚜로 쓰고 미투리 신 재촉해 신고
樵路(쵸노)을 겻놋코 溪石(계셕)를 바올나,나뭇길 곁에 두고 시냇돌 밟아 올라
歐公(우공)의 行跡(젹)으로 東山(동산)의 彳亍(쳑쵹)ꢁ니,구양수歐陽修의 모습으로 동산을 잔걸음으로 가니
山人은 傴摟(굴루)ꢁ고 林鳥(임조) 間關(간관)ꢀ,산인은 굽실하고 숲새들은 지저귄다
完然(완연)ꢀ 潺〃水(잔〃수)가 六七里(룩칠리)를 빗겨시니,완연한 잔잔수潺潺水는 육칠 리를 흘렀으니
아도 몰올씨고 峰回路轉(봉회노전) 分明(분명)ꢁ다,아마도 모르겠다 봉회노전峰回路轉 분명하다
滁山(뎨)의 六〃洞(륙〃동)이 여긔런가 져기런가,중국 저산滁山 육륙동이 여기인가 저기인가
林壑(임)은 蔚然(울연)ꢀ 景槩(경기)도 가씨고,임학林壑은 무성한데 경치도 같을시고
今韓愈(금ꢀ류)은 어가고 山林(산임)만 닌고야,지금 한유韓愈 어디 가고 산림만 남았구나
醉亭(졍)은 말아두고 石逕(셕경)의 막집퍼,취정醉亭 구경 그만두고 돌길에 막대 짚고
鍾山(종)의 고든길로 屛嵓(병)를 마죠보와,종산鍾山의 곧은 길로 병풍바위 마주보며
龍湫地(용츄디) 돌아들어 瀑布臺(폭포) 올나ꢁ니,용추龍湫 못 돌아들어 폭포대를 올라보니
廬山(여)의 眞面目(진면목)이 가씨고 여긔로다,여산廬山의 참된 모습 같을시고 여기구나
이도곤 가景(경)이 어듸 닛말가,여기보다 갖춘 경치 또 어디 있단 말인가
卜居(복거)ꢁ던 白樂天(락쳔)은 어가 消息(쇼식)업고,복거卜居하던 백낙천은 어디 가서 소식 없고
種杏(종)ꢁ던 董奉이 仙跡만 나마닛다,살구 심던 동봉董奉이는 신선 자취 남겼구나
醉興(흥)을 못다이겨 以今視昔(이금시셕) ꢁ올져긔,취흥을 못 다 이겨 옛일을 다시 볼 때에
廬山謠(요)을 불너니 謫仙詩(적션시) 아닐런가,여산廬山 노래 불러내니 이백李白의 시 아니던가
披閱古蹟(피열고젹) ꢁ온후의 져景槩(경기) 글를지여,고적을 살핀 후에 저 경치 글에 담아
거문고로 아여 파의 올니고져,거문고로 노래하며 비파에 올리고저
神(신)仙臺 고져 泉石(천셕)를 길을사마,신선대를 찾으려고 천석을 길을 삼아
次第(제)로 발바올나 樹陰(슈음)으로 가ꢁ니,차례로 밟아 올라 숲속 그늘 속으로 가려 하니
武峽(무협)가 뎌絶頂(졀정)의 三聲猿(셩훤) 슬을씨고,무협武俠 같은 저 절경엔 원숭이 소리 슬프구나
긔아 石壁(셕벽)우의 捿鶻鳥(셔골조) 놀다,그 아래 석벽 위에 서골조棲鶻鳥가 놀래도다
松檜(송회)은 森鬱(삼울)ꢀ 藤蘿(듼나)만 얼켜닛다,송회松檜는 울창한데 등나무만 얽혀 있다
雲山(운)은 疊〃(쳡〃)ꢁ고 万壑()른 谷谷(곡곡)이라,운산은 첩첩하고 만학은 골골이라
鷗(구)峰은란 저만두고 嵓上()의 리보아,구봉은 저만 두고 바위 위에 자리를 보아
저근덧 안씨니 松間(송)의 우물,잠시 동안 앉았으니 송간에 우는 물결
完然(완연)ꢀ 바돌솔 丁〃ꢀ 落子로다,완연한 바둑 소리처럼 쩌렁쩌렁 울리도다
白鶴觀이 어관 바돌솔 무일고,백학관이 어디건대 바둑소리 무슨 일인고
고쳐올나 안말리 今世間의 靈境이라,다시 올라 앉았으니 이 세상의 영경이다
登東臯而 舒嘯ꢁ고 臨淸流而 賦詩ꢁ여,동쪽 언덕 휘파람 불고 시내에선 시를 짓고
多事이 好古졔 이心懷 어이가,바쁘게도 호고好古 할 제 이내 심사 어이 할꼬
뎌鍾岳 웃층의 翩선裙屐 언듯올나,저 종악鐘岳 맨 위층에 날랜 발걸음 사뿐 올라
ꢀ졍업시 오니 曠遠ꢁ다 뎌湖山니,한정 없이 바라보니 아득하다 저 강산이
여긔와 다뵈다 일너 무가,여기 오니 다 보인다 다 말하여 무엇할까
뎌긔가 六七詩隊 星山別曲 불의면서,저기 가는 노래꾼들 〈성산별곡〉 부르면서
息影亭 올의야고 瀟灑園 간취코,식영정을 오르고서 소쇄원에 잠깐 취해
環碧堂 竹林밧긔 釣臺의 올나서셔,환벽당 죽림 밖에 조대에 올라서서
鸕鶿嵓 紫薇灘을 有意쿼 귀경ꢀ가,노자암 자미탄을 뜻을 두고 구경한가
어와 뎌君子야 뉘긔뉘긔 왓단고,어와 저 군자야 누구누구 왔다더냐
긔노림 죠쿼이와 언위졔나 예가,그 놀음 좋거니와 언제나 찾아갈까
靑眸을 다시씃고 瑞鳳옛 퍼보니,밝은 눈을 다시 씻고 서봉 옛터 바라보니
雲林은 慘淡ꢀ 層嵓만 헛터닛다,운림은 참담한데 층층 바위 흩어져 있다
어셔 부발 璇風이 아닐런가,어디서 부는 바람 선풍이 아니던가
思慕庵 건너보니 仙人臺 일어셰라,사모암 건너보니 선인대가 되었구나
松壇의 徘徊타가 烏枝峰 반겨보아,송단松壇에 배회타가 오지봉 반겨보고
雲門의 通刺ꢁ여 仙翁를 지오니,신선 집에 뵈오려 가 선옹仙翁을 찾으니
靑厖은 吠雲ꢁ고 童子른 出門ꢀ다,청방은 짖어대나 동자는 맞이한다
松下의 갓가이셔 殷懃이 물르오니,소나무 가까이서 은근히 물어보니
뎌童子 일말리 仙翁이야 계시오나,저 동자 하는 말이 선옹이야 계시지만
슐ꢁ여 시오니 간지졍 ꢁ옵쇼셔,술 취하여 주무시니 잠깐 진정 하옵소서
돌씔고 누어씨니 나도ꢀ 곤하고야,돌을 쓸고 누었으니 나도 또한 곤하여서
풋을 얼풋듸니 碧霞帳이 玲瓏ꢀ,풋잠을 얼풋 드니 푸른 휘장 영롱한데
어셔 오난仙翁 白髮蒼顔 됴흰威儀,어디서 오는 선옹 쇠한 얼굴 좋은 위엄
헌토 헌샤 이 와가,분주하고 어수선타 이내 꿈 깨었는가
甚偉ꢀ 뎌衣冠이 綺里翁과 엇더ꢀ고,기특하다 그 의관이 기리계綺里季와 어떠한고
 다려 닐온말리 엇지ꢁ야 이江山을,나에게 하는 말이 어찌하여 이 강산을
가지록 나히너겨 들고아니 나고야,갈수록 좋게 여겨 들고 아니 나오는가
昇平聖世 더뎌두고 靑雲를 下直ꢁ야,태평 성세 버려두고 벼슬과도 하직하야
樂夫天命 ꢁ올뎌긔 彷徨코 捿遲ꢁ여,천명만을 즐길 적에 서성대며 노닐면서
날곳면 ꢁ닐리 采藥ꢁ여 療饑ꢁ고,날이 쇠면 하는 일이 약을 캐서 요기하고
飮水ꢁ고 著書ꢁ며 긔바돌 무일고,물마시고 책을 쓰며 장기 바둑 웬일인고
雲山의 主人도여 管領ꢁ니 헌롭다,운산의 주인 되어 도맡은 일 분주하다
董生의 桐栢이며 李愿의 盤谷인가,동중서董仲舒의 동백이며 이원李愿의 반곡盤谷인가
考槃歌을 닐을마 叢桂曲 읠픠오니,은사 노래 일을 삼아 총계곡叢桂曲을 읊으오니
徐孺子의 持操런가 韓伯休의 淸標로다,서유자의 지조던가 한강의 기품이네
蜀道詩 외오면셔 獨樂園 됴히네겨,촉도시 외우면서 독락원을 좋게 여겨
綠竹으로 울를고 黃花로 버슬ꢀ가,대숲으로 울을 삼고 황국으로 벗했는가
無情ꢁ다 뎌歲月아 이네白髮 무일고,무정하다 저 세월아 이네 백발 왠 일인고
城市囂塵 멀리ꢁ고 鍾山月의 지피들여,번화함을 멀리하고 종산에 깊이 들어
是非피코 遯跡ꢀ가 그일 알아고져,시비 피해 은둔한가 그 일을 알고 싶어
어와뎌 神仙翁아 이말 셰듯쇼,어와 저 신선이여 이내 말을 자세히 듣소
朋友親戚 다발리고 故園兄弟 멀리ꢁ니,벗과 친척 다 뺏기고 고향 형제 멀리 하니
이마 친실음 긔뉘셔 알숀가,이내 마음 매친 시름 그 누가서 알 것인가
退翁의 闕里귀경 이졔와 거더두고,이황의 궐리가 구경 이제 와서 그만두고
陶山景 써어여 외로안 본노라니,도산 경개 써내어서 홀로 앉아 보았더니
어셔 오벗님 辨誣䟽 외온말리,어디서 오는 벗님 변무소를 외운 말이
크거나 뎌큰經綸 月翁의 度畧이라,크고도 저 큰 경륜 이정구의 도략이라
北征ꢁ 大老의논 긔아니 壯숀가,북벌하잔 송시열이 그 아니 장하던가
於焉星霜 二百年의 寒潭秋月 흔젹업,어언 세월 이백 년에 가을달이 흔적 없다
昏衢의 後生들은 羣賢論難 어볼고,거리의 후생들은 군현 의론 어디서 볼까
紛紜ꢁ다 近日消息 날다려 말치마오,분운하다 근일 소식 나에게는 말을 마오
太白山이 어오 處士詩나 외오고져,태백산은 어디인고 처사시나 외우고저
控訢 전히업셔 山水間의 부치고져,항소할 곳 전혀 없어 산수 간에 붙이고저
엇그졔 風雨中의 일업시 行裝쳐,엊그제 비바람에 일없이 행장 떨쳐입고
